world_index,world_timestamp,img_to_surf_trans,surf_to_img_trans,num_detected_markers,dist_img_to_surf_trans,surf_to_dist_img_trans,num_definition_markers
74,5.167453741,"[[ 1.35800503e-03 -4.03355990e-05 -4.09438281e-01]
 [-3.65131938e-04 -2.59059301e-03  2.40420702e+00]
 [-1.51734718e-04  3.87573391e-04  7.07934637e-01]]","[[ 7.82892803e+02  3.68358419e+01  3.27693097e+02]
 [ 3.00931688e+01 -2.54546369e+02  8.81865965e+02]
 [ 1.51325704e-01  1.47251837e-01  1.00000000e+00]]",5,"[[ 1.44152941e-03 -8.87871632e-05 -4.18451404e-01]
 [-4.56799114e-04 -2.91429678e-03  2.66184719e+00]
 [-2.36137332e-04  2.79344950e-04  8.40930117e-01]]","[[ 7.53086495e+02  9.95578627e+00  3.43226284e+02]
 [ 5.76257122e+01 -2.62498317e+02  8.59576741e+02]
 [ 1.92327972e-01  8.99938185e-02  1.00000000e+00]]",6
75,5.208509741,"[[ 1.35107844e-03 -3.93444813e-05 -4.05566425e-01]
 [-3.66106609e-04 -2.57656977e-03  2.39792449e+00]
 [-1.50518398e-04  3.87192913e-04  7.06643510e-01]]","[[ 7.86478235e+02  3.69698171e+01  3.25932855e+02]
 [ 2.92442766e+01 -2.55663645e+02  8.84353432e+02]
 [ 1.51499682e-01  1.47961154e-01  1.00000000e+00]]",6,"[[ 1.43361615e-03 -8.82199260e-05 -4.13887669e-01]
 [-4.61645901e-04 -2.90354083e-03  2.65974855e+00]
 [-2.36786110e-04  2.78061174e-04  8.41310223e-01]]","[[ 7.57109749e+02  9.72232977e+00  3.41728210e+02]
 [ 5.74321852e+01 -2.63629974e+02  8.61703440e+02]
 [ 1.94106059e-01  8.98686011e-02  1.00000000e+00]]",6
76,5.246094741,"[[ 1.34486966e-03 -3.83488405e-05 -4.01166721e-01]
 [-3.65557799e-04 -2.56720383e-03  2.39202065e+00]
 [-1.51795585e-04  3.84189337e-04  7.08841050e-01]]","[[ 7.90039063e+02  3.66185091e+01  3.23549477e+02]
 [ 2.99938276e+01 -2.57431018e+02  8.85689164e+02]
 [ 1.52927280e-01  1.47368412e-01  1.00000000e+00]]",6,"[[ 1.42855284e-03 -8.76924899e-05 -4.09605682e-01]
 [-4.60236264e-04 -2.89597078e-03  2.65473854e+00]
 [-2.36996300e-04  2.74667969e-04  8.43543660e-01]]","[[ 7.59334627e+02  9.22417213e+00  3.39686049e+02]
 [ 5.76754563e+01 -2.65229551e+02  8.62716821e+02]
 [ 1.94557679e-01  8.89534949e-02  1.00000000e+00]]",6
77,5.288521741,"[[ 1.34050097e-03 -3.80819210e-05 -3.97065247e-01]
 [-3.64653808e-04 -2.56214348e-03  2.38754554e+00]
 [-1.51807862e-04  3.81380096e-04  7.10841487e-01]]","[[ 7.92195376e+02  3.60634029e+01  3.21379998e+02]
 [ 2.99373203e+01 -2.58843250e+02  8.86114738e+02]
 [ 1.53119915e-01  1.46576098e-01  1.00000000e+00]]",6,"[[ 1.42510184e-03 -8.76752126e-05 -4.05707394e-01]
 [-4.58282896e-04 -2.89156035e-03  2.65009518e+00]
 [-2.35750835e-04  2.72020342e-04  8.44889003e-01]]","[[ 7.60386172e+02  8.72033028e+00  3.37777609e+02]
 [ 5.70937134e+01 -2.66383288e+02  8.62958812e+02]
 [ 1.93789981e-01  8.81979739e-02  1.00000000e+00]]",6
78,5.328866741000001,"[[ 1.33892184e-03 -3.88637830e-05 -3.93829714e-01]
 [-3.63486686e-04 -2.56689910e-03  2.38417859e+00]
 [-1.51944370e-04  3.75857632e-04  7.16506779e-01]]","[[ 7.92613550e+02  3.48239958e+01  3.19785031e+02]
 [ 2.95049920e+01 -2.60650650e+02  8.83533358e+02]
 [ 1.52606358e-01  1.44114263e-01  1.00000000e+00]]",5,"[[ 1.42535467e-03 -8.78645026e-05 -4.03680212e-01]
 [-4.50778384e-04 -2.89081129e-03  2.63934693e+00]
 [-2.32040163e-04  2.68952148e-04  8.46572456e-01]]","[[ 7.58920624e+02  8.21795044e+00  3.36263263e+02]
 [ 5.54845611e+01 -2.67544616e+02  8.60577349e+02]
 [ 1.90388161e-01  8.72501737e-02  1.00000000e+00]]",6
79,5.366096741000001,"[[ 1.33567183e-03 -3.85608939e-05 -3.90667420e-01]
 [-3.63811785e-04 -2.56203642e-03  2.37186669e+00]
 [-1.52788384e-04  3.73517180e-04  7.19642642e-01]]","[[ 7.94420537e+02  3.43913166e+01  3.17911405e+02]
 [ 2.92715924e+01 -2.62368718e+02  8.80630250e+02]
 [ 1.53471711e-01  1.43479293e-01  1.00000000e+00]]",6,"[[ 1.41920084e-03 -8.64289953e-05 -4.00317696e-01]
 [-4.53692910e-04 -2.88101251e-03  2.62377909e+00]
 [-2.34413074e-04  2.68750067e-04  8.47765911e-01]]","[[ 7.62501200e+02  8.31256957e+00  3.34328585e+02]
 [ 5.58201704e+01 -2.68731704e+02  8.58065202e+02]
 [ 1.93141259e-01  8.74890550e-02  1.00000000e+00]]",6
80,5.408656741000001,"[[ 1.33481677e-03 -3.99260402e-05 -3.86873758e-01]
 [-3.63913461e-04 -2.56531192e-03  2.36835871e+00]
 [-1.52976379e-04  3.68351572e-04  7.24803482e-01]]","[[ 7.94397639e+02  3.30256609e+01  3.16106357e+02]
 [ 2.86549382e+01 -2.64135815e+02  8.78381819e+02]
 [ 1.53102166e-01  1.41206536e-01  1.00000000e+00]]",6,"[[ 1.41846897e-03 -8.73071538e-05 -3.97015617e-01]
 [-4.51918009e-04 -2.88082601e-03  2.61632873e+00]
 [-2.32977428e-04  2.65430162e-04  8.50270979e-01]]","[[ 7.62015030e+02  7.54884992e+00  3.32578204e+02]
 [ 5.46056011e+01 -2.69907041e+02  8.56015131e+02]
 [ 1.91748669e-01  8.63256342e-02  1.00000000e+00]]",6
81,5.451465741000001,"[[ 1.33483407e-03 -3.99384596e-05 -3.84952977e-01]
 [-3.63767437e-04 -2.56990549e-03  2.36370294e+00]
 [-1.53846830e-04  3.65795030e-04  7.28240289e-01]]","[[ 7.94252107e+02  3.24329462e+01  3.14577299e+02]
 [ 2.86618950e+01 -2.64985729e+02  8.75234504e+02]
 [ 1.53395509e-01  1.39954037e-01  1.00000000e+00]]",6,"[[ 1.41829805e-03 -8.64623558e-05 -3.95708397e-01]
 [-4.49652781e-04 -2.88083540e-03  2.60676242e+00]
 [-2.32162905e-04  2.65259862e-04  8.50530423e-01]]","[[ 7.61670165e+02  7.61903267e+00  3.31014934e+02]
 [ 5.40031656e+01 -2.70182141e+02  8.53197178e+02]
 [ 1.91065107e-01  8.63429833e-02  1.00000000e+00]]",6
82,5.478973741,"[[ 1.33708106e-03 -3.88903028e-05 -3.85609669e-01]
 [-3.58528951e-04 -2.57618422e-03  2.35780367e+00]
 [-1.54397457e-04  3.63126678e-04  7.31952630e-01]]","[[ 7.92776625e+02  3.22564587e+01  3.13746992e+02]
 [ 2.93804756e+01 -2.65762636e+02  8.71566665e+02]
 [ 1.52651764e-01  1.38650801e-01  1.00000000e+00]]",6,"[[ 1.41981321e-03 -8.43472396e-05 -3.96913409e-01]
 [-4.42497171e-04 -2.88220751e-03  2.59584365e+00]
 [-2.31826106e-04  2.64566716e-04  8.51639153e-01]]","[[ 7.60711851e+02  8.03402516e+00  3.30047837e+02]
 [ 5.44703557e+01 -2.70528708e+02  8.49972948e+02]
 [ 1.90153098e-01  8.62282908e-02  1.00000000e+00]]",6
83,5.519076741,"[[ 1.33818415e-03 -3.75449351e-05 -3.87174884e-01]
 [-3.54033643e-04 -2.57979439e-03  2.35281432e+00]
 [-1.55688042e-04  3.62400943e-04  7.33926995e-01]]","[[ 7.92387078e+02  3.25367931e+01  3.13708780e+02]
 [ 3.07226143e+01 -2.66005605e+02  8.68964931e+02]
 [ 1.52918872e-01  1.38251178e-01  1.00000000e+00]]",6,"[[ 1.42001966e-03 -8.21166447e-05 -3.98794583e-01]
 [-4.36936011e-04 -2.88203708e-03  2.58727699e+00]
 [-2.33023927e-04  2.65232613e-04  8.52023026e-01]]","[[ 7.61013977e+02  8.67353100e+00  3.29858954e+02]
 [ 5.58609346e+01 -2.70553462e+02  8.47716275e+02]
 [ 1.90744051e-01  8.65947745e-02  1.00000000e+00]]",6
84,5.557831741,"[[ 1.34023715e-03 -3.72667516e-05 -3.89259032e-01]
 [-3.50261787e-04 -2.58382059e-03  2.35151141e+00]
 [-1.55704738e-04  3.62253874e-04  7.34741814e-01]]","[[ 7.91224584e+02  3.26897662e+01  3.14560779e+02]
 [ 3.12974516e+01 -2.65858074e+02  8.67449080e+02]
 [ 1.52243674e-01  1.38005033e-01  1.00000000e+00]]",6,"[[ 1.42110568e-03 -8.13511274e-05 -4.00864953e-01]
 [-4.33127347e-04 -2.88394326e-03  2.58429316e+00]
 [-2.33749013e-04  2.65490747e-04  8.52536126e-01]]","[[ 7.60778456e+02  8.96819955e+00  3.30534923e+02]
 [ 5.68071237e+01 -2.70426692e+02  8.46455435e+02]
 [ 1.90900353e-01  8.66732683e-02  1.00000000e+00]]",6
85,5.5978717410000005,"[[ 1.34332117e-03 -3.68421156e-05 -3.92533439e-01]
 [-3.46854092e-04 -2.58935309e-03  2.35289120e+00]
 [-1.55374709e-04  3.61949780e-04  7.35517590e-01]]","[[ 7.89474375e+02  3.29348869e+01  3.15971893e+02]
 [ 3.16410679e+01 -2.65544810e+02  8.66353481e+02]
 [ 1.51202195e-01  1.37632512e-01  1.00000000e+00]]",6,"[[ 1.42304008e-03 -8.04515980e-05 -4.04035519e-01]
 [-4.30217284e-04 -2.88779825e-03  2.58464228e+00]
 [-2.34631339e-04  2.65282032e-04  8.53511471e-01]]","[[ 7.60226636e+02  9.29449903e+00  3.31730291e+02]
 [ 5.77314132e+01 -2.70213382e+02  8.45601375e+02]
 [ 1.91043580e-01  8.65407654e-02  1.00000000e+00]]",6
86,5.637174741,"[[ 1.34615854e-03 -3.49497110e-05 -3.96638557e-01]
 [-3.43508436e-04 -2.59436415e-03  2.35344035e+00]
 [-1.54205909e-04  3.62354546e-04  7.35408963e-01]]","[[ 7.87773670e+02  3.36777794e+01  3.17106234e+02]
 [ 3.14730773e+01 -2.65039618e+02  8.65149054e+02]
 [ 1.49678544e-01  1.37653507e-01  1.00000000e+00]]",6,"[[ 1.42468554e-03 -7.80210416e-05 -4.08060806e-01]
 [-4.27231407e-04 -2.89077590e-03  2.58378560e+00]
 [-2.34612609e-04  2.66028319e-04  8.53352952e-01]]","[[ 7.59725358e+02  1.01104219e+01  3.32677093e+02]
 [ 5.81942007e+01 -2.69769470e+02  8.44636726e+02]
 [ 1.90729806e-01  8.68788828e-02  1.00000000e+00]]",6
87,5.676291741,"[[ 1.34859310e-03 -3.35719928e-05 -4.00216430e-01]
 [-3.39205571e-04 -2.59754088e-03  2.35280501e+00]
 [-1.53227952e-04  3.63179514e-04  7.34902932e-01]]","[[ 7.86313555e+02  3.43380913e+01  3.18279817e+02]
 [ 3.16503235e+01 -2.64556426e+02  8.64218439e+02]
 [ 1.48305935e-01  1.37899885e-01  1.00000000e+00]]",6,"[[ 1.42598012e-03 -7.62358854e-05 -4.11482664e-01]
 [-4.23448989e-04 -2.89245352e-03  2.58228042e+00]
 [-2.34956578e-04  2.66787374e-04  8.53254189e-01]]","[[ 7.59447141e+02  1.07604672e+01  3.33678747e+02]
 [ 5.90383023e+01 -2.69444264e+02  8.43914854e+02]
 [ 1.90665842e-01  8.72103190e-02  1.00000000e+00]]",6
88,5.716365741000001,"[[ 1.35121225e-03 -3.26473858e-05 -4.03723147e-01]
 [-3.35595043e-04 -2.60276193e-03  2.35390894e+00]
 [-1.52286852e-04  3.63303021e-04  7.35083146e-01]]","[[ 7.84737566e+02  3.47734852e+01  3.19641531e+02]
 [ 3.16848606e+01 -2.64119573e+02  8.63174922e+02]
 [ 1.46914003e-01  1.37740858e-01  1.00000000e+00]]",6,"[[ 1.42733481e-03 -7.48518193e-05 -4.14822758e-01]
 [-4.20461058e-04 -2.89597441e-03  2.58240188e+00]
 [-2.35452694e-04  2.66908721e-04  8.53806901e-01]]","[[ 7.59152585e+02  1.12390976e+01  3.34841405e+02]
 [ 5.97937776e+01 -2.69147152e+02  8.43106246e+02]
 [ 1.90657911e-01  8.72375216e-02  1.00000000e+00]]",6
