gaze_unix_ts,norm_pos_x,norm_pos_y,draw_norm_x,draw_norm_y,is_drawing,time_diff_s
1769351406.355978,0.535744218265309,0.4048169736508969,,,False,4.118665933609009
1769351406.359855,0.5353000865263098,0.4047877558955439,,,False,4.114789009094238
1769351406.367866,0.5349420098697438,0.4043855455186632,,,False,4.106777906417847
1769351406.371877,0.536185152390424,0.4048379403573495,,,False,4.102766990661621
1769351406.37851,0.5374977448407341,0.4048318933557581,,,False,4.0961339473724365
1769351406.379862,0.5372620189891142,0.4048151086877893,,,False,4.094781875610352
1769351406.389658,0.5369179669548484,0.4024934556749132,,,False,4.084985971450806
1769351406.3918471,0.5373948041130515,0.4027697527850116,,,False,4.082796812057495
1769351406.396691,0.5369087107041303,0.4033612286603009,,,False,4.077952861785889
1769351406.399847,0.5374637491562787,0.4030758893048322,,,False,4.074796915054321
1769351406.408021,0.5373611450195312,0.4030331646954571,,,False,4.066622972488403
1769351406.411917,0.5371660905725816,0.4028373435691551,,,False,4.062726974487305
1769351406.416169,0.5378391602460075,0.4032890037254051,,,False,4.058475017547607
1769351406.423214,0.5399367949541878,0.4043307834201388,,,False,4.051429986953735
1769351406.427878,0.5392480738022748,0.4025650589554398,,,False,4.046766042709351
1769351406.431853,0.5390521778779871,0.4025746098271122,,,False,4.04279088973999
1769351406.435879,0.5387896369485294,0.4020798859772858,,,False,4.038764953613281
1769351406.439848,0.5386237537159639,0.4020195855034723,,,False,4.0347959995269775
1769351406.447844,0.5385613721959731,0.4020147818106192,,,False,4.026799917221069
1769351406.451877,0.5385098737828872,0.4020503291377315,,,False,4.022766828536987
1769351406.455868,0.5386381710276884,0.402082598650897,,,False,4.018775939941406
1769351406.459877,0.5386912962969612,0.4021237408673321,,,False,4.0147669315338135
1769351406.467927,0.5379220738130457,0.4021543149594907,,,False,4.006716966629028
1769351406.471863,0.5377717298619887,0.4022177237051504,,,False,4.002780914306641
1769351406.475874,0.5371932422413546,0.4022291960539641,,,False,3.998769998550415
1769351406.479854,0.5374678443459904,0.4027188901548032,,,False,3.9947898387908936
1769351406.487844,0.5376588036032284,0.4019123218677661,,,False,3.986799955368042
1769351406.491866,0.5375509262084961,0.4020627622251157,,,False,3.9827778339385986
1769351406.495869,0.537503018098719,0.4025894730179398,,,False,3.9787750244140625
1769351406.499897,0.5367519715253044,0.4023022686993635,,,False,3.9747469425201416
1769351406.507869,0.5366420745849609,0.4023356119791667,,,False,3.9667749404907227
1769351406.511853,0.5360130422255572,0.4010405929000289,,,False,3.9627909660339355
1769351406.51586,0.5347248526180491,0.4015283655237268,,,False,3.9587838649749756
1769351406.519876,0.5354804431690889,0.4016506053783275,,,False,3.954767942428589
1769351406.527856,0.5350514580221737,0.4009776362666377,,,False,3.9467878341674805
1769351406.531886,0.5349582784316119,0.4010319462528935,,,False,3.9427578449249268
1769351406.535921,0.5349388122558594,0.4010012591326678,,,False,3.938722848892212
1769351406.5398781,0.5349171582390281,0.4012484515154803,,,False,3.9347658157348633
1769351406.547983,0.5342948015998391,0.4010238082320602,,,False,3.9266610145568848
1769351406.551852,0.5342035854563993,0.4010698106553819,,,False,3.9227919578552246
1769351406.555867,0.5340807858635398,0.4008578265154803,,,False,3.9187769889831543
1769351406.559835,0.5335443160113167,0.4002331769024884,,,False,3.914808988571167
1769351406.567848,0.5335181741153493,0.4003539473922164,,,False,3.9067959785461426
1769351406.571873,0.5335223815020393,0.4004130045572917,,,False,3.90277099609375
1769351406.5759351,0.5311446470372817,0.4003664369936343,,,False,3.8987088203430176
1769351406.579894,0.5310122546027688,0.4004596286349826,,,False,3.894749879837036
1769351406.587871,0.5311232174144072,0.4007793850368923,,,False,3.886772871017456
1769351406.591862,0.5311924429500804,0.4010025589554398,,,False,3.882781982421875
1769351406.59587,0.5309973885031307,0.4010338112160011,,,False,3.8787739276885986
1769351406.599932,0.5305290222167969,0.4007926093207465,,,False,3.8747119903564453
1769351406.607848,0.5298181421616498,0.4015098289207176,,,False,3.8667960166931152
1769351406.61187,0.5298973532284007,0.4015571876808449,,,False,3.862773895263672
1769351406.616416,0.529634531806497,0.4008216575339988,,,False,3.8582279682159424
1769351406.619871,0.5297037573421702,0.4010331895616319,,,False,3.8547730445861816
1769351406.627962,0.5298104005701402,0.4009329901801215,,,False,3.846681833267212
1769351406.631855,0.5298581964829389,0.4012424610279225,,,False,3.8427889347076416
1769351406.63585,0.5299158096313477,0.4015365600585937,,,False,3.838793992996216
1769351406.639854,0.5293297487146714,0.4014059561270254,,,False,3.834789991378784
1769351406.647849,0.52912639169132,0.4022402162905092,,,False,3.8267948627471924
1769351406.651877,0.5287929983700023,0.402133235224971,,,False,3.8227670192718506
1769351406.656805,0.5283019121955422,0.4022729379159433,,,False,3.8178389072418213
1769351406.659883,0.5282002617331112,0.4022628219039351,,,False,3.81476092338562
1769351406.667853,0.5291022132424748,0.4023100676359954,,,False,3.806790828704834
1769351406.671987,0.5291707655962776,0.4023369683159722,,,False,3.802656888961792
1769351406.678775,0.5292798771577722,0.4015324345341435,,,False,3.7958688735961914
1769351406.679883,0.52905133191277,0.401583918818721,,,False,3.7947609424591064
1769351406.690336,0.5288397284115062,0.4021322744864004,,,False,3.7843079566955566
1769351406.691941,0.5289062612196979,0.4020563196252893,,,False,3.782702922821045
1769351406.695861,0.5286220662734088,0.4019504123263888,,,False,3.778782844543457
1769351406.700003,0.5278162675745347,0.4017130533854166,,,False,3.7746410369873047
1769351406.707861,0.5254988950841567,0.4015641954210069,,,False,3.7667829990386963
1769351406.712385,0.5256460414213293,0.4016162448459202,,,False,3.762259006500244
1769351406.715831,0.5260742411893957,0.4016223483615451,,,False,3.75881290435791
1769351406.720203,0.5262212192311007,0.4020074349862558,,,False,3.754441022872925
1769351406.727884,0.5262106166166418,0.4023168493200231,,,False,3.7467598915100098
1769351406.731898,0.526308676775764,0.4023362336335359,,,False,3.742745876312256
1769351406.735897,0.5268223706413718,0.4025041368272569,,,False,3.7387468814849854
1769351406.739929,0.5255610522101907,0.4025807133427372,,,False,3.734714984893799
1769351406.747844,0.525824041927562,0.4025929768880208,,,False,3.726799964904785
1769351406.751857,0.5258005366605871,0.4025637026186343,,,False,3.7227869033813477
1769351406.756102,0.5259307973525104,0.4025379887333622,,,False,3.7185418605804443
1769351406.759974,0.5250304726993337,0.4025123313621238,,,False,3.714669942855835
1769351406.767905,0.5239214616663316,0.4025860821759259,,,False,3.7067389488220215
1769351406.771847,0.5241013695211971,0.4027775517216435,,,False,3.7027969360351562
1769351406.775926,0.5242776870727539,0.4026005497685185,,,False,3.6987178325653076
1769351406.779845,0.5241839464973,0.4039326985677083,,,False,3.6947989463806152
1769351406.787846,0.5243474735933191,0.4035199200665509,,,False,3.686797857284546
1769351406.791886,0.5242347717285156,0.4034786648220486,,,False,3.68275785446167
1769351406.795867,0.5226176766788259,0.4036105120623553,,,False,3.678776979446411
1769351406.799875,0.5225692075841567,0.4041249593098958,,,False,3.6747689247131348
1769351406.8078501,0.5228420706356273,0.4045655427155671,,,False,3.6667938232421875
1769351406.811853,0.5229948268217199,0.4045685379593461,,,False,3.6627910137176514
1769351406.815893,0.5231114555807674,0.4044766461407697,,,False,3.6587510108947754
1769351406.81983,0.5231198703541475,0.4045325385199653,,,False,3.6548140048980713
1769351406.827852,0.5212332220638499,0.4048077618634259,,,False,3.646791934967041
1769351406.831863,0.5208770527559168,0.404611658166956,,,False,3.6427810192108154
1769351406.8358421,0.5211110956528607,0.4045813101309317,,,False,3.6388018131256104
1769351406.839931,0.521328421200023,0.4040909378616898,,,False,3.6347129344940186
1769351406.847837,0.5216966516831342,0.4053083066587095,,,False,3.6268069744110107
1769351406.851863,0.5217641381656423,0.4054191871925636,,,False,3.6227810382843018
1769351406.85749,0.521984717425178,0.4054037588614004,,,False,3.6171538829803467
1769351406.8598561,0.5220682480755974,0.4053447016963252,,,False,3.6147878170013428
1769351406.867846,0.5187645519480986,0.4085738570601852,,,False,3.606797933578491
1769351406.872003,0.5190542445463293,0.4087392736364293,,,False,3.6026408672332764
1769351406.875916,0.5193098292631262,0.4086177119502314,,,False,3.5987279415130615
1769351406.879856,0.5195592992446002,0.4086374918619792,,,False,3.594787836074829
1769351406.887845,0.5195313060984892,0.4090149490921585,,,False,3.586798906326294
1769351406.891844,0.5197282117955825,0.4092686971028646,,,False,3.5827999114990234
1769351406.895891,0.5195423014023725,0.4094078346535011,,,False,3.5787529945373535
1769351406.900274,0.5211159762214211,0.4092770611798322,,,False,3.5743699073791504
1769351406.907849,0.5214884701897117,0.4094216805917245,,,False,3.5667948722839355
1769351406.911848,0.5215772179996266,0.4093021534107349,,,False,3.562795877456665
1769351406.915846,0.5211680356193992,0.4091906512225115,,,False,3.558797836303711
1769351406.919873,0.5208375033210305,0.4091085363317419,,,False,3.5547709465026855
1769351406.927848,0.5218639373779297,0.408919835973669,,,False,3.5467958450317383
1769351406.931841,0.5218455931719612,0.4088563141999422,,,False,3.5428030490875244
1769351406.935867,0.5218145146089441,0.4087170636212384,,,False,3.5387768745422363
1769351406.939864,0.5219050014720243,0.4085635715060763,,,False,3.5347800254821777
1769351406.947849,0.5219425313612994,0.408408440483941,,,False,3.526794910430908
1769351406.951913,0.5217845019172219,0.4080594663266782,,,False,3.522730827331543
1769351406.955848,0.5216525582706227,0.4083536783854167,,,False,3.518795967102051
1769351406.959852,0.5222262775196749,0.4082912303783276,,,False,3.514791965484619
1769351406.967866,0.5209535710951861,0.4084400883427372,,,False,3.5067780017852783
1769351406.971842,0.5210519117467544,0.4091618855794271,,,False,3.5028018951416016
1769351406.976001,0.5222669489243451,0.40894696270978,,,False,3.498642921447754
1769351406.984142,0.5221530689912683,0.4092592592592592,,,False,3.490501880645752
1769351406.987979,0.5223646724925322,0.4091837565104167,,,False,3.4866650104522705
1769351406.99186,0.5218579348395852,0.4093568024811921,,,False,3.4827840328216553
1769351406.995886,0.5214537452248966,0.4093857941804109,,,False,3.478757858276367
1769351407.003843,0.5215488321640912,0.4103535404911748,,,False,3.4708008766174316
1769351407.007858,0.5212778203627643,0.410135848433883,,,False,3.4667859077453613
1769351407.011849,0.52124444176169,0.4100197686089409,,,False,3.4627950191497803
1769351407.015848,0.5210591484518612,0.4101554588035301,,,False,3.4587960243225098
1769351407.02394,0.5213685877182904,0.4099825823748553,,,False,3.4507038593292236
1769351407.027934,0.5213707755593693,0.4102283053927951,,,False,3.4467098712921143
1769351407.03186,0.5211567598230699,0.4106965241608796,,,False,3.442783832550049
1769351407.035867,0.5210843927720014,0.410787511754919,,,False,3.438776969909668
1769351407.046745,0.5216959224027746,0.4124426947699653,,,False,3.42789888381958
1769351407.047858,0.5218730814316693,0.4124519065574363,,,False,3.426785945892334
1769351407.051871,0.5222709319170784,0.4125977127640335,,,False,3.4227728843688965
1769351407.055874,0.5224336736342486,0.4124378910771122,,,False,3.4187698364257812
1769351407.063977,0.5206040214089787,0.4122004191080729,,,False,3.4106669425964355
1769351407.06827,0.5206856447107652,0.4120860347041377,,,False,3.406373977661133
1769351407.071941,0.5212864595301011,0.4125919483326099,,,False,3.402703046798706
1769351407.075869,0.5214049956377815,0.41246258770978,,,False,3.3987748622894287
1769351407.083849,0.5214955946978401,0.4123264454029224,,,False,3.3907949924468994
1769351407.0878441,0.5215453540577608,0.4120778966833044,,,False,3.3867998123168945
1769351407.091861,0.5216600193696863,0.4119183010525173,,,False,3.3827829360961914
1769351407.095841,0.5214095957138959,0.4119278519241898,,,False,3.378803014755249
1769351407.103848,0.521910499123966,0.4129448219581887,,,False,3.370795965194702
1769351407.107857,0.5219455606797162,0.4134077849211516,,,False,3.3667869567871094
1769351407.112179,0.5216371311860926,0.4134554827654803,,,False,3.3624649047851562
1769351407.1158621,0.5219478046192843,0.4135025589554398,,,False,3.3587818145751953
1769351407.123851,0.5217079835779527,0.4133631953486689,,,False,3.35079288482666
1769351407.127847,0.521688741796157,0.4132654260706019,,,False,3.346796989440918
1769351407.131854,0.5223568748025333,0.4132402208116319,,,False,3.342789888381958
1769351407.135876,0.522380043478573,0.4136547512478299,,,False,3.3387680053710938
1769351407.1438801,0.5223914314718807,0.414199885615596,,,False,3.330763816833496
1769351407.147891,0.5223418965059168,0.4140806410047742,,,False,3.3267529010772705
1769351407.151922,0.5223650090834674,0.4139668217411747,,,False,3.3227219581604004
1769351407.156007,0.52282294105081,0.413851081000434,,,False,3.318636894226074
1769351407.163863,0.5237526613123277,0.4135563603153935,,,False,3.3107810020446777
1769351407.167889,0.5250959396362305,0.414077306676794,,,False,3.3067548274993896
1769351407.171858,0.5244681975420784,0.4141255131474247,,,False,3.302785873413086
1769351407.175843,0.5245194715612075,0.4140312477394386,,,False,3.2988009452819824
1769351407.183883,0.5247010623707491,0.4135269165039062,,,False,3.2907609939575195
1769351407.189968,0.524380179012523,0.4130949797453703,,,False,3.2846758365631104
1769351407.191827,0.5244683097390568,0.4132663302951389,,,False,3.2828168869018555
1769351407.195858,0.5245052786434398,0.4132211755823206,,,False,3.2787859439849854
1769351407.203855,0.5247573852539062,0.4131054913556135,,,False,3.2707889080047607
1769351407.207837,0.5244774537927964,0.4128550776728877,,,False,3.2668068408966064
