world_timestamp,world_index,gaze_timestamp,x_norm,y_norm,x_scaled,y_scaled,on_surf,confidence
4.328069741,53,4.307386741,0.36011797189712524,0.6178500056266785,0.36011797189712524,0.6178500056266785,True,1.0
4.328069741,53,4.311422741,0.3597371578216553,0.6163312792778015,0.3597371578216553,0.6163312792778015,True,1.0
4.328069741,53,4.315413741,0.3591241240501404,0.6135978698730469,0.3591241240501404,0.6135978698730469,True,1.0
4.328069741,53,4.3234017410000005,0.3589271903038025,0.611518144607544,0.3589271903038025,0.611518144607544,True,1.0
4.328069741,53,4.327416741,0.3606131374835968,0.6122753620147705,0.3606131374835968,0.6122753620147705,True,1.0
4.328069741,53,4.331423741,0.36095160245895386,0.6116567850112915,0.36095160245895386,0.6116567850112915,True,1.0
4.328069741,53,4.335383741,0.36125361919403076,0.609868049621582,0.36125361919403076,0.609868049621582,True,1.0
4.328069741,53,4.343393741,0.3619323670864105,0.6064517498016357,0.3619323670864105,0.6064517498016357,True,1.0
4.328069741,53,4.3473697410000005,0.3629983365535736,0.605175256729126,0.3629983365535736,0.605175256729126,True,1.0
4.368847741000001,54,4.351380741,0.4983364939689636,0.4647904336452484,0.4983364939689636,0.4647904336452484,True,1.0
4.368847741000001,54,4.355415741,0.4992009997367859,0.4636574983596802,0.4992009997367859,0.4636574983596802,True,1.0
4.368847741000001,54,4.363408741000001,0.5000613927841187,0.45931288599967957,0.5000613927841187,0.45931288599967957,True,1.0
4.368847741000001,54,4.367428741,0.4999695122241974,0.46145495772361755,0.4999695122241974,0.46145495772361755,True,1.0
4.368847741000001,54,4.371382741000001,0.4997018575668335,0.46147722005844116,0.4997018575668335,0.46147722005844116,True,1.0
4.368847741000001,54,4.375396741,0.5009849667549133,0.46122556924819946,0.5009849667549133,0.46122556924819946,True,1.0
4.368847741000001,54,4.383386741000001,0.5020377039909363,0.46423155069351196,0.5020377039909363,0.46423155069351196,True,1.0
4.368847741000001,54,4.3875667410000005,0.502528965473175,0.4642616808414459,0.502528965473175,0.4642616808414459,True,1.0
4.408862741,55,4.3914047410000006,0.48993340134620667,0.45639294385910034,0.48993340134620667,0.45639294385910034,True,1.0
4.408862741,55,4.3954897410000004,0.4906855523586273,0.4563084542751312,0.4906855523586273,0.4563084542751312,True,1.0
4.408862741,55,4.403427741000001,0.49454808235168457,0.4557969570159912,0.49454808235168457,0.4557969570159912,True,1.0
